component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x0AD92000,LPT_CFG_CLOSEPORT,Major,equipmentAlarm,Clear,LPT_CFG_CLOSEPORT,1.3.6.1.4.1.2011.5.25.355.1.2,hwLptClosePortAlarm,LPT opened access port. (ifName=[ifName]),Services will not be affected.,The port status is restored.,,ifName::Name of an interface
dc,0x08130084,hwSdbereAlarm,Minor,communicationsAlarm,Raise,hwMsB2SdAlarm,1.3.6.1.4.1.2011.5.25.157.2.29,hwSdbereAlarmResume,"Exceeding block error B2 counter in the multiplex section alarm. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],SlotID=[hwPhysicalPortInSlot],CardID=[hwPhysicalPortInCard],PortID=[hwPhysicalPortInPort],InterfaceName=[hwPhysicalPortName]) The signal bit error rate detected by the B2 byte in the multiplex section exceeded the alarm threshold (the default value is 1*10-6). In VS mode, this trap is supported only by the admin VS.",A service switchover or interruption will occur.,"Cause 0: The optical fiber was broken. Cause 1: The optical loss was beyond the normal range. Cause 2: The remote device failed to send the optical signal. Cause 3: The cross-connect board of the remote device failed, was not installed, or was not installed properly. Cause 4: The clock board of the remote device failed.","1.Check whether any optical fiber is connected to the optical interface. If no optical fiber is used, shut down the laser of the optical interface and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 9. 2.Check whether the optical fiber is broken. If the optical fiber is broken, replace the optical fiber and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 9. 3.Check whether the receive optical power of the local device is less than the minimum value. If the receive optical power is less than the minimum value, clean the optical fiber connector and the optical interface on the interface board. Check that the flange and the optical attenuator are properly connected and the optical attenuator value is in the normal range. Then check whether the alarm is cleared.",hwPhysicalPortIfIndex::Index of physical port. | hwPhysicalPortInSlot::Slot ID. | hwPhysicalPortInCard::Card ID. | hwPhysicalPortInPort::Port ID. | hwPhysicalPortName::Name of physical port.
dc,0x08130054,hwBoardFail,Critical,equipmentAlarm,Clear,hwBoardFail,1.3.6.1.4.1.2011.5.25.219.2.2.4,hwBoardFail-132192,"The board resumed from partial failure. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityType=[EntType],EntityTrapFaultID=132192,EntityTrapReasonDescr=Exception with board Id  is rectified.,EntityOperStatus=[EntityOperStatus]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,Exception with board Id  is rectified.,,EntityPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalIndex::Indicates the index of the physical entity. | EntityPhysicalName::Indicates the name of the physical entity. | EntType::Indicates the type of the physical entity. | EntityTrapFaultID::Indicates the error code. | EntityTrapReasonDescr::Indicates the description of the cause of the trap. | EntityOperStatus::Indicates the status of the physical entity.
dc,0x0D300004,hwSystemConfigError,Major,equipmentAlarm,Clear,hwSystemConfigError,1.3.6.1.4.1.2011.5.25.219.2.11.2,hwSystemConfigError-144133,"The system configuration error has been rectified. ( EntityTrapFaultID = [EntityTrapFaultID]) In VS mode, this trap is supported only by the admin VS.","If this alarm is generated, the system configuration error is rectified.",The fault was rectified when the memory size of the system master main control board was inconsistent with that of the system slave main control board.,,EntityTrapFaultID::Fault code
dc,0x00F10143,isisDeleteRouteByPurge,Critical,communicationsAlarm,Raise,isisDeleteRouteByPurge,1.3.6.1.4.1.2011.5.25.24.2.4.19,hwIsisDeleteRouteByPurgeClear,"The local device deleted IS-IS routes advertised by other devices. Reset or isolate the device from the network. (SysInstance=[isisSysInstance], HostName=[hwIsisHostName], HostIpAddress=[hwIsisHostIpAddress], SystemID=[isisPduLspId], SysLevel=[isisSysLevelIndex], PurgeLspNum=[hwIsisPurgeLspNum], AffectedNodeNum=[hwIsisAffectedNodeNum], TotalNodeNum=[hwIsisTotalNodeNum], Interval=[hwIsisInterval]) The local device purged the IS-IS LSPs advertised by another device. The local device needs to be reset or isolated from the network.","Network flapping may occur, affecting traffic forwarding.",The local device purged the IS-IS LSPs advertised by another device.,"1. Run the display isis route command to check whether any route is deleted. If yes, isolate the device from the network by resetting or isolating the device. 2. Collect alarm and configuration information, and contact technical support personnel. 3. End.",isisSysInstance::Specifies a process ID. | hwIsisHostName::Hostname of the faulty node | hwIsisHostIpAddress::IP address of the faulty node | isisPduLspId::System ID of the faulty node | isisSysLevelIndex::IS-IS level of the faulty node | hwIsisPurgeLspNum::Purge LSP count | hwIsisAffectedNodeNum::Number of affected nodes | hwIsisTotalNodeNum::Total number of nodes on the network | hwIsisInterval::Statistical period
dc,0x0D500001,hwCCCVcDown,Minor,communicationsAlarm,Clear,hwCCCVcDown,1.3.6.1.4.1.2011.5.25.119.3.2.2,hwCCCVcDown,"The status of the CCC VC turned UP. (CccName=[CccName], InterfaceIndex=[InterfaceIndex], InterfaceIndex=[InterfaceIndex2], HWL2VpnStateChangeReason=[HWL2VpnStateChangeReason], InterfaceName=[InterfaceName])",The CCC service will be recovered.,Cause 2: Vc Created. Cause 18: Interface Up. Cause 29: Outgoing interface was available. Cause 95: CCC service token exceed resume.,"If the possible causes are appeared, this trap message is informational only, and no action is required.",CccName::Indicates the name of the CCC connection. | InterfaceIndex::Indicates the index of the AC interface that connects to the first CE. | InterfaceIndex2::Indicates the index of the AC interface that connects to the second CE. | HWL2VpnStateChangeReason::Indicates the cause of the VC status change. | InterfaceName::Indicates the AC interface name.
dc,0x0D4D0001,hwVplsVcDown,Major,communicationsAlarm,Clear,hwVplsVcDown,1.3.6.1.4.1.2011.5.25.119.1.2.2,hwVplsVcDown,"The status of the VPLS VC turned UP. (VsiName=[VsiName], PwId=[PwId], RemoteIp=[RemoteIp], PwType=[PwType], HWL2VpnStateChangeReason=[HWL2VpnStateChangeReason], SysUpTime=[SysUpTime], TunnelPolicyName=[TunnelPolicyName])",The VPLS service will be recovered.,Cause 2: VC was created. Cause 5: LDP session was Up. Cause 11: New LDP mapping message was received. Cause 18: Interface was Up. Cause 23: Tunnel was Up. Cause 30: LDP notification message was forwarded. Cause 38: Local AC fault was resumed. Cause 42: Local PSN fault was resumed. Cause 59: MTU Matched. Cause 62: VSI was resumed. Cause 63: Set Admin VSI. Cause 95: PW token exceed resume. Cause 99: Related EVPN Inclusive Multicast route is invalid.,"If the possible causes are appeared, this trap message is informational only, and no action is required.",VsiName::Indicates the name of a VSI. | PwId::Indicates the ID of a PW. | RemoteIp::Indicates the IP address of the remote peer. | PwType::Indicates the type of a PW: 1: normal 2: other | HWL2VpnStateChangeReason::Indicates the cause of the VC status change. | SysUpTime::Indicates the time for system startup. | TunnelPolicyName::Indicates the name of a tunnel policy.
dc,0x00F10025,hwOtuSfAlarm,Major,communicationsAlarm,Clear,hwOtuSfAlarm,1.3.6.1.4.1.2011.5.25.157.2.212.8,hwOtuSfAlarm,"OTU Signal fail was resumed. (IfIndex=[hwPhysicalPortIfIndex],SlotId=[hwPhysicalPortInSlot],CardId=[hwPhysicalPortInCard],PortId=[hwPhysicalPortInPort],InterfaceName=[hwPhysicalPortName]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,The fault that caused the alarm was rectified.,,hwPhysicalPortIfIndex::Index of physical port. | hwPhysicalPortInSlot::Slot ID. | hwPhysicalPortInCard::Card ID. | hwPhysicalPortInPort::Port ID. | hwPhysicalPortName::Name of physical port.
dc,0x09AC2017,VLAN_1DM_EXCEED_THRESHOLD,Warning,qualityOfServiceAlarm,Clear,VLAN_1DM_EXCEED_THRESHOLD,1.3.6.1.4.1.2011.5.25.136.1.6.24,hwCfmVlanOnewayDelay,"The result of one-way delay-measure is under the threshold. (MdIndex=[MdIndex], MaIndex=[MaIndex], RemoteMacAddress=[RemoteMacAddress], Timestamp=[Timestamp], DelayValue=[DelayValue], ThresholdValue=[ThresholdValue], DelayValueHigh=[DelayValueHigh], DelayValueLow=[DelayValueLow])",Services will not be affected.,"The device in VLAN networking was enabled with one-way frame delay measurement and was configured with an expected alarm threshold, the network delay fell below the alarm threshold and a one-way frame delay alarm had been generated.",,MdIndex::Index of the MD where a one-way frame delay alarm is generated | MaIndex::Index of the MA where a one-way frame delay alarm is generated | RemoteMacAddress::Source MAC address contained in the 1DM frame received by the local end from the remote end | Timestamp::Timestamp indicating the time when a one-way frame delay alarm is generated | DelayValue::Delay when a one-way frame delay alarm is generated | ThresholdValue::An alarm threshold for one-way frame delay measurement | DelayValueHigh::32 most significant bits | DelayValueLow::32 least significant bits
dc,0x00010085,hwStorageUtilizationRisingAlarm,Major,qualityOfServiceAlarm,Raise,hwStorageUtilizationRisingAlarm,1.3.6.1.4.1.2011.5.25.129.2.6.1,hwStorageUtilizationResume-75271,"The storage usage exceeded the pre-set overload threshold. (TrapSeverity=[TrapSeverity], ProbableCause=[ProbableCause], EventType=[EventType], PhysicalIndex=[PhysicalIndex], PhysicalName=[PhysicalName], RelativeResource=[RelativeResource], UsageType=[UsageType], SubIndex=[SubIndex], UsageValue=[UsageValue], Unit=[Unit], UsageThreshold=[UsageThreshold]) Memory or storage usage was sampled for a period of time. In one sampling period (overload times x sampling interval), if each memory or storage usage sample exceeded the pre-set overload threshold, this alarm was generated. In VS mode, this trap is supported only by the admin VS.","1. If services fail to apply for the memory, the system automatically restarts. 2. If the storage medium space is insufficient, the log function and software upgrade are affected.",The forwarding CPU memory usage exceed  the preset threshold.,"1. Run the display health command to check detailed information about the CPU usage and memory usage threshold of the current board. 2. Delete unnecessary services and configurations to reduce the memory usage based on the memory usage queried in Step 1. Then, check whether the alarm is cleared. If the alarm is cleared, go to step 4. If the alarm persists, go to step 3. 3. Collect alarm and configuration information, and contact technical support personnel. 4. End.","SubIndex::Entity sub-index | RelativeResource::Relevant resource name | TrapSeverity::Alarm severity | ProbableCause::Trap cause. | EventType::Alarm type | PhysicalIndex::Physical index | PhysicalName::Entity name | UsageType::Overload type. The value 1 indicates the CPU. The default sampling interval is 10 seconds, and the number of overload sampling times is 48. The value 2 indicates the memory. The default sampling interval is 1 second, and the number of overload sampling times is 2. The value 3 indicates a disk. The value 4 indicates flash memory. The value 5 indicates the CF card. The value 6 indicates the physical memory. | UsageValue::Storage usage | Unit::Unit | UsageThreshold::Threshold"
dc,0x08130090,hwB1TcaAlarm,Minor,communicationsAlarm,Clear,hwB1TcaAlarm,1.3.6.1.4.1.2011.5.25.157.2.16,hwB1TcaAlarm,"B1 threshold crossing alarm is cleared. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],SlotID=[hwPhysicalPortInSlot],CardID=[hwPhysicalPortInCard],PortID=[hwPhysicalPortInPort],InterfaceName=[hwPhysicalPortName]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,Cause 0: The fiber cut is rectified. Cause 1: The fault of excessive line attenuation was rectified. Cause 2: The transmit part of the opposite station recovers from a fault. Cause 3: The cross-connect board at the opposite station recovers from a fault or is not in position. Cause 4: The clock board at the opposite station recovers from a fault.,,hwPhysicalPortIfIndex::Index of the physical port. | hwPhysicalPortInSlot::Slot ID. | hwPhysicalPortInCard::Card ID. | hwPhysicalPortInPort::Port ID. | hwPhysicalPortName::Name of physical port.
dc,0x09A1200D,hwLoopDetectWithoutBlockResume,Warning,equipmentAlarm,Clear,hwLoopDetectWithoutBlock,1.3.6.1.4.1.2011.25.180.2.14,hwLoopDetectWithoutBlock,"The loop state of this interface is recovered. (PortIndex=[IfIndex], PortName=[IfName]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,"The loop on the interface was removed, or the command undo loop-detect only-alarm was executed on the interface.",,IfIndex::Interface index | IfName::Name of the interface.
dc,0x080121F3,hwIOSwitchThreeAlarm,Major,equipmentAlarm,Raise,hwIOSwitchThreeAlarm,1.3.6.1.4.1.2011.5.25.219.2.10.23,hwIOSwitchThreeAlarmResume,"The IO alarm 3 arise. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntPhysicalName],IOAlarmName=[IOAlarmName]) The trap was generated for the switch on channel 3. In VS mode, this trap is supported only by the admin VS.",Some services may experience exceptions.,The status of alarm input 3 is inconsistent with the configured status.,"1.Query the alarm information. Specifically, check whether the alarm is cleared within a short period of time. If the alarm persists, an alarm is generated on the external sensor of alarm input 3. 2.Check the status of the external sensor of alarm input 3, and check the status of the environment corresponding to the external sensor. 3.Collect alarm information, log information and configuration information, and then contact technical support personnel. 4. End.","EntityPhysicalIndex::Physical index of the warning entity. | EntPhysicalIndex::Physical index of the warning entity. | EntPhysicalName::Name of the warning entity. | IOAlarmName::User defined alarm name, such as Temperature."
